We are using 1000 iterations		
		
4 threads	time(s)	
N	Jacobi	GS
10	0.002363	0.003139
100	0.085136	0.058809
1000	7.09672	5.04593
10000	707.74549	965.527693
		
		
6 threads	time (s)	
N	Jacobi	GS
10	0.183505	0.171267
100	0.214139	0.209759
1000	12.731387	15.404658
10000		
		
10 threads	time (s)	
N	Jacobi	GS
10	0.157073	0.224834
100	0.289164	0.281265
1000	16.138038	16.657747
10000		
		
25 threads	time (s)	
N	Jacobi	GS
10		
100		
1000	12.331816	
10000		
